ID,Function,File,Line,Failure Mode,Effect,Cause,Severity,O,D,RPN,Action
FM-001,"cmd_pr","cmd_pr.c",133,,,,"Low",1,1,3,
FM-002,"cmd_version","cmd_version.c",4,,,,"Low",1,1,3,
FM-003,"cmd_qualify","cmd_qualify.c",60,,,,"Low",1,1,3,
FM-004,"cmd_misra","cmd_misra.c",56,,,,"Low",1,1,3,
FM-005,"cmd_iso26262","cmd_iso26262.c",59,,,,"Low",1,1,3,
FM-006,"printf","cmd_iso26262.c",124,,,,"Low",1,1,3,
FM-007,"cfusa_scan_lines","cmd_req.c",123,,,,"Low",1,1,3,
FM-008,"snprintf","cmd_req.c",202,,,,"Low",1,1,3,
FM-009,"printf","cmd_req.c",252,,,,"Low",1,1,3,
FM-010,"cmd_req","cmd_req.c",256,,,,"Low",1,1,3,
FM-011,"cmd_release","cmd_release.c",91,,,,"Low",1,1,3,
FM-012,"snprintf","cmd_release.c",130,,,,"Low",1,1,3,
FM-013,"cmd_check","cmd_check.c",9,,,,"Medium",1,1,5,
FM-014,"cmd_template","cmd_template.c",83,,,,"Low",1,1,3,
FM-015,"cmd_tara","cmd_tara.c",77,,,,"Low",1,1,3,
FM-016,"cfusa_scan_lines","cmd_trace.c",130,,,,"Low",1,1,3,
FM-017,"cmd_trace","cmd_trace.c",149,,,,"Low",1,1,3,
FM-018,"printf","cmd_trace.c",212,,,,"Low",1,1,3,
FM-019,"printf","cmd_trace.c",224,,,,"Low",1,1,3,
FM-020,"snprintf","cmd_trace.c",288,,,,"Low",1,1,3,
FM-021,"snprintf","cmd_trace.c",292,,,,"Low",1,1,3,
FM-022,"cfusa_basename","cmd_trace.c",308,,,,"Low",1,1,3,
FM-023,"snprintf","cmd_trace.c",330,,,,"Low",1,1,3,
FM-024,"snprintf","cmd_trace.c",334,,,,"Low",1,1,3,
FM-025,"fprintf","cmd_trace.c",354,,,,"Low",1,1,3,
FM-026,"for","cmd_analyze.c",24,,,,"Low",1,1,3,
FM-027,"if","cmd_analyze.c",65,,,,"Low",1,1,3,
FM-028,"!strstr","cmd_analyze.c",66,,,,"Low",1,1,3,
FM-029,"strstr","cmd_analyze.c",99,,,,"Low",1,1,3,
FM-030,"strstr","cmd_analyze.c",100,,,,"Low",1,1,3,
FM-031,"!strstr","cmd_analyze.c",101,,,,"Low",1,1,3,
FM-032,"if","cmd_analyze.c",131,,,,"Low",1,1,3,
FM-033,"!strstr","cmd_analyze.c",132,,,,"Low",1,1,3,
FM-034,"if","cmd_analyze.c",162,,,,"Low",1,1,3,
FM-035,""assert","cmd_analyze.c",166,,,,"Low",1,1,3,
FM-036,"if","cmd_analyze.c",193,,,,"Low",1,1,3,
FM-037,"strstr","cmd_analyze.c",194,,,,"Low",1,1,3,
FM-038,"strstr","cmd_analyze.c",195,,,,"Low",1,1,3,
FM-039,"for","cmd_analyze.c",231,,,,"Low",1,1,3,
FM-040,""assert","cmd_analyze.c",277,,,,"Low",1,1,3,
FM-041,"cfusa_analyze_register_rules","cmd_analyze.c",285,,,,"Low",1,1,3,
FM-042,"cmd_analyze","cmd_analyze.c",291,,,,"Low",1,1,3,
FM-043,"cmd_report","cmd_report.c",9,,,,"Low",1,1,3,
FM-044,"cmd_init","cmd_init.c",8,,,,"Medium",1,1,5,
FM-045,"fprintf","cmd_init.c",46,,,,"Low",1,1,3,
FM-046,"cfusa_scan_lines","cmd_fmea.c",90,,,,"Low",1,1,3,
FM-047,"cmd_fmea","cmd_fmea.c",92,,,,"Low",1,1,3,
FM-048,"cfusa_path_join","cmd_fmea.c",139,,,,"Low",1,1,3,
FM-049,"printf","cmd_fmea.c",142,,,,"Low",1,1,3,
FM-050,"cfusa_basename","cmd_fmea.c",188,,,,"Low",1,1,3,
FM-051,"cfusa_basename","cmd_fmea.c",238,,,,"Low",1,1,3,
FM-052,"cfusa_basename","cmd_fmea.c",277,,,,"Low",1,1,3,
FM-053,"strtol","cmd_fix.c",48,,,,"Low",1,1,3,
